profile_id,label,lane,engine,mode,topology,rank,node,isl_tokens,kernel_wall_span_ms,summed_kernel_ms,kernel_count,category,category_ms,category_pct,source_file,source_artifact_sha256
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,nccl,1046.0,54.8,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,other,355.6,18.6,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,norm/rope/quant,146.9,7.7,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,gemm,141.1,7.4,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,attention,121.7,6.4,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,indexer/topk,40.9,2.1,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,elementwise/other-triton,37.8,2.0,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,moe,13.4,0.7,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,engram,2.5,0.1,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1949.6,1908.5,8165,memcpy/memset,2.5,0.1,baseline-rank0.txt,fb8f88736a19f565bfce852ead5cab8114900e8a2ba11b7dd9c9f3262d7ae594
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,nccl,1052.7,55.2,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,other,347.3,18.2,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,norm/rope/quant,146.9,7.7,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,gemm,141.5,7.4,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,attention,121.1,6.4,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,indexer/topk,40.7,2.1,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,elementwise/other-triton,37.9,2.0,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,moe,12.5,0.7,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,engram,2.5,0.1,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
stock_rdma_32k,Stock RDMA path · 32K prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1949.4,1905.5,8165,memcpy/memset,2.4,0.1,baseline-rank1.txt,4b35f6dedeea255b118ed2a64b8426581d9cc0719f7002297be53b8ce2a16d02
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,other,355.5,29.3,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,nccl,354.2,29.2,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,norm/rope/quant,147.0,12.1,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,gemm,140.3,11.6,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,attention,121.7,10.0,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,indexer/topk,40.9,3.4,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,elementwise/other-triton,36.9,3.0,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,moe,13.4,1.1,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,engram,2.5,0.2,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,0,node0,32768,1251.6,1214.8,7855,memcpy/memset,2.3,0.2,datadirect-rank0.txt,de29eab6145194392397f4ac3d6571245b23865c8bdc92d42ee2fc3d52dbed38
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,nccl,358.6,29.6,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,other,347.3,28.7,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,norm/rope/quant,146.8,12.1,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,gemm,140.9,11.6,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,attention,121.0,10.0,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,indexer/topk,40.7,3.4,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,elementwise/other-triton,37.0,3.1,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,moe,12.5,1.0,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,engram,2.5,0.2,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
datadirect_32k,Data Direct RDMA · 32K prefill,sglang_tp2_ep2_ar,sglang,ar,cross_node_tp2_ep2,1,node1,32768,1251.6,1209.6,7855,memcpy/memset,2.3,0.2,datadirect-rank1.txt,fe6789420c15e61b9aa855d25d691e8519ec1390d328f72e28d2142e3cd646eb
